lambda [Angstrom],atmospheric_emission [arbitrary flux units]
5623.534,0.13217022
5626.0063,0.11725869
5628.479,0.11528817
5630.953,0.11667574
5633.428,0.116268314
5635.9043,0.11341886
5638.3813,0.11741256
5640.86,0.11796429
5643.3394,0.11952889
5645.82,0.1289725
5648.3013,0.120467566
5650.784,0.11802633
5653.2676,0.11958506
5655.7524,0.11868603
5658.239,0.11812657
5660.7256,0.1220565
5663.214,0.12614746
5665.703,0.1338936
5668.1934,0.14107655
5670.6846,0.16034538
5673.1772,0.15797749
5675.671,0.1481262
5678.1655,0.14897704
5680.6616,0.17486604
5683.158,0.22061417
5685.6562,0.23757279
5688.1553,0.25810087
5690.656,0.24686173
5693.157,0.20193675
5695.659,0.17298177
5698.163,0.16145256
5700.6675,0.15656357
5703.1733,0.13957432
5705.68,0.13441262
5708.188,0.13060707
5710.697,0.13609208
5713.207,0.13523714
5715.7183,0.12980075
5718.2305,0.13275912
5720.744,0.13123274
5723.2583,0.13416524
5725.774,0.13106623
5728.291,0.12647381
5730.8086,0.12385492
5733.3276,0.1265923
5735.8477,0.12625949
5738.369,0.12342767
5740.891,0.1254994
5743.4146,0.12752652
5745.939,0.1267523
5748.465,0.12325551
5750.991,0.12519722
5753.519,0.1219703
5756.0483,0.12676144
5758.578,0.13004625
5761.1094,0.1304436
5763.6416,0.13310337
5766.175,0.1578354
5768.7095,0.21850035
5771.245,0.18434332
5773.7817,0.1433235
5776.32,0.13412409
5778.8584,0.13242298
5781.3984,0.12907743
5783.94,0.13015969
5786.482,0.14423737
5789.0254,0.197691
5791.5703,0.20475282
5794.1157,0.15206511
5796.6626,0.14116257
5799.2104,0.13565175
5801.7593,0.13755849
5804.3096,0.13706253
5806.861,0.13633218
5809.413,0.13637656
5811.967,0.13567829
5814.5215,0.13612203
5817.077,0.13565019
5819.634,0.14134935
5822.192,0.1405585
5824.751,0.1414312
5827.3115,0.1403098
5829.8726,0.1423432
5832.435,0.14397411
5834.999,0.1445968
5837.5635,0.14458783
5840.1294,0.14368564
5842.6963,0.14675428
5845.2646,0.147117
5847.834,0.14582469
5850.4043,0.14808473
5852.9756,0.14935471
5855.5483,0.14899963
5858.122,0.14603348
5860.6973,0.14935505
5863.273,0.16323982
5865.85,0.2097596
5868.4287,0.2031921
5871.008,0.16276301
5873.5884,0.15507379
5876.1704,0.1418272
5878.753,0.12936044
5881.337,0.12613867
5883.9224,0.12848032
5886.5083,0.22403432
5889.0957,0.92111903
5891.6846,0.5860728
5894.274,0.49834839
5896.8647,0.6308159
5899.457,0.16122799
5902.05,0.13759746
5904.644,0.14494926
5907.2393,0.1512239
5909.836,0.13885444
5912.4336,0.15113376
5915.032,0.20331897
5917.6323,0.16508068
5920.2334,0.15052675
5922.8354,0.16414556
5925.439,0.17796929
5928.0435,0.15972877
5930.649,0.18376385
5933.256,0.22614156
5935.864,0.16939011
5938.4727,0.15888533
5941.083,0.15224256
5943.6943,0.16178837
5946.307,0.17582119
5948.921,0.15495642
5951.5356,0.18418656
5954.1514,0.208143
5956.7686,0.15543886
5959.3867,0.15066181
5962.0063,0.15457189
5964.627,0.15104409
5967.2485,0.15088454
5969.8716,0.16637824
5972.4956,0.15701099
5975.1206,0.16404231
5977.747,0.17753763
5980.3745,0.14999448
5983.003,0.14309148
5985.633,0.14198153
5988.2637,0.1428859
5990.896,0.14094722
5993.5293,0.14130118
5996.1636,0.14577337
5998.7993,0.14410089
6001.436,0.14109193
6004.0737,0.15261486
6006.713,0.13553832
6009.353,0.13108744
6011.9946,0.12999375
6014.637,0.12861092
6017.281,0.12624927
6019.926,0.12544756
6022.572,0.12315413
6025.2188,0.12583517
6027.867,0.12984714
6030.5166,0.12677196
6033.1675,0.13362966
6035.8193,0.12846433
6038.472,0.12331794
6041.1265,0.12039315
6043.7817,0.11985211
6046.4385,0.1193363
6049.096,0.118170835
6051.755,0.11697058
6054.415,0.11650195
6057.076,0.11493936
6059.7383,0.116481036
6062.402,0.11658689
6065.067,0.114801705
6067.7324,0.11729591
6070.3994,0.11315665
6073.068,0.11239849
6075.7373,0.111115694
6078.4077,0.10950289
6081.0796,0.10855893
6083.7524,0.107466474
6086.4263,0.108516246
6089.1016,0.10743103
6091.7783,0.10643956
6094.4556,0.110037215
6097.135,0.112145886
6099.8145,0.11119087
6102.4956,0.10971594
6105.178,0.11266371
6107.8613,0.11012735
6110.5464,0.11295329
6113.232,0.113244265
6115.919,0.10980018
6118.6074,0.10748858
6121.297,0.103091575
6123.9873,0.10482328
6126.679,0.10505564
6129.372,0.10345411
6132.066,0.104426906
6134.761,0.1075372
6137.458,0.11434022
6140.156,0.11803272
6142.8545,0.121184535
6145.5547,0.11898701
6148.256,0.106774986
6150.958,0.111733384
6153.662,0.12932114
6156.3667,0.12489139
6159.0728,0.12801817
6161.78,0.13868594
6164.4883,0.1101342
6167.1978,0.10571053
6169.9087,0.12877102
6172.6206,0.11515597
6175.3335,0.10734378
6178.048,0.10438199
6180.7637,0.099928685
6183.4805,0.1033894
6186.198,0.10083111
6188.9175,0.100644045
6191.6377,0.10348173
6194.359,0.104267366
6197.082,0.09764188
6199.8057,0.102229066
6202.531,0.12099107
